Sn,Degree,Volt CH-1,Volt CH-2,Torque,Sync
648,13.6,1.532,0.765,0.146,2.003
649,13.4,1.523,0.76,0.143,2.004
650,13.2,1.514,0.756,0.144,2.003
651,13,1.506,0.752,0.147,2.003
652,12.8,1.495,0.746,0.142,2.004
653,12.6,1.486,0.742,0.139,2.003
654,12.4,1.475,0.737,0.144,2.001
655,12.2,1.467,0.733,0.138,2.001
656,12,1.457,0.728,0.143,2.001
657,11.8,1.447,0.723,0.143,2.001
658,11.6,1.436,0.718,0.137,2
659,11.4,1.428,0.713,0.145,2.003
660,11.2,1.42,0.709,0.143,2.003
661,11,1.411,0.704,0.139,2.004
662,10.8,1.403,0.7,0.135,2.004
663,10.6,1.393,0.695,0.139,2.004
664,10.4,1.385,0.691,0.135,2.004
665,10.2,1.375,0.686,0.136,2.004
666,10,1.367,0.682,0.139,2.004
667,9.8,1.357,0.677,0.135,2.004
668,9.6,1.349,0.673,0.137,2.004
669,9.4,1.34,0.669,0.138,2.003
670,9.2,1.329,0.663,0.137,2.005
671,9,1.322,0.66,0.131,2.003
672,8.8,1.311,0.654,0.135,2.005
673,8.6,1.302,0.65,0.132,2.003
674,8.4,1.292,0.645,0.134,2.003
675,8.2,1.284,0.641,0.133,2.003
676,8,1.273,0.635,0.134,2.005
677,7.8,1.264,0.63,0.136,2.006
678,7.6,1.255,0.626,0.132,2.005
679,7.4,1.245,0.621,0.131,2.005
680,7.2,1.236,0.617,0.127,2.003
681,7,1.226,0.612,0.129,2.003
682,6.8,1.217,0.607,0.127,2.005
683,6.6,1.206,0.602,0.127,2.003
684,6.4,1.198,0.598,0.126,2.003
685,6.2,1.187,0.593,0.129,2.002
686,6,1.178,0.588,0.128,2.003
687,5.8,1.169,0.584,0.127,2.002
688,5.6,1.158,0.578,0.127,2.003
689,5.4,1.151,0.574,0.122,2.005
690,5.2,1.141,0.569,0.127,2.005
691,5,1.133,0.565,0.123,2.005
692,4.8,1.122,0.56,0.123,2.004
693,4.6,1.114,0.556,0.124,2.004
694,4.4,1.102,0.55,0.123,2.004
695,4.2,1.094,0.546,0.124,2.004
696,4,1.086,0.542,0.12,2.004
697,3.8,1.076,0.537,0.119,2.004
698,3.6,1.067,0.533,0.115,2.002
699,3.4,1.057,0.527,0.117,2.006
700,3.2,1.049,0.523,0.116,2.006
701,3,1.038,0.518,0.116,2.004
702,2.8,1.029,0.514,0.116,2.002
703,2.6,1.019,0.509,0.115,2.002
704,2.4,1.01,0.504,0.117,2.004
705,2.2,1.001,0.5,0.114,2.002
706,2,0.989,0.494,0.114,2.002
707,1.8,0.981,0.489,0.112,2.006
708,1.6,0.97,0.484,0.113,2.004
709,1.4,0.961,0.479,0.111,2.006
710,1.2,0.952,0.475,0.088,2.004
711,1,0.947,0.473,0.032,2.002
712,0.8,0.94,0.469,0,2.004
713,0.6,0.939,0.467,0.043,2.011
714,0.4,0.939,0.464,0.071,2.024
715,0.2,0.939,0.464,0.118,2.024
716,0,0.939,0.464,0.14,2.024
717,0,0,0,0,0
718,0,0,0,0,0
719,0,0,0,0,0
720,0,0,0,0,0
721,0,0,0,0,0
722,0,0,0,0,0
723,0,0,0,0,0
724,0,0,0,0,0
725,0,0,0,0,0
726,0,0,0,0,0
727,0,0,0,0,0
728,0,0,0,0,0
729,0,0,0,0,0
730,0,0,0,0,0
731,0,0,0,0,0
732,0,0,0,0,0
733,0,0,0,0,0
734,0,0,0,0,0
735,0,0,0,0,0
736,0,0,0,0,0
737,0,0,0,0,0
738,0,0,0,0,0
739,0,0,0,0,0
740,0,0,0,0,0
741,0,0,0,0,0
742,0,0,0,0,0
743,0,0,0,0,0
744,0,0,0,0,0
745,0,0,0,0,0
746,0,0,0,0,0
747,0,0,0,0,0
748,0,0,0,0,0
749,0,0,0,0,0
750,0,0,0,0,0
751,0,0,0,0,0
752,0,0,0,0,0
753,0,0,0,0,0
754,0,0,0,0,0
755,0,0,0,0,0
756,0,0,0,0,0
757,0,0,0,0,0
758,0,0,0,0,0
759,0,0,0,0,0
760,0,0,0,0,0
761,0,0,0,0,0
762,0,0,0,0,0
763,0,0,0,0,0
764,0,0,0,0,0
765,0,0,0,0,0
766,0,0,0,0,0
767,0,0,0,0,0
768,0,0,0,0,0
769,0,0,0,0,0
770,0,0,0,0,0
771,0,0,0,0,0
772,0,0,0,0,0
773,0,0,0,0,0
774,0,0,0,0,0
775,0,0,0,0,0
776,0,0,0,0,0
777,0,0,0,0,0
778,0,0,0,0,0
779,0,0,0,0,0
780,0,0,0,0,0
781,0,0,0,0,0
782,0,0,0,0,0
783,0,0,0,0,0
784,0,0,0,0,0
785,0,0,0,0,0
786,0,0,0,0,0
787,0,0,0,0,0
788,0,0,0,0,0
789,0,0,0,0,0
790,0,0,0,0,0
791,0,0,0,0,0
792,0,0,0,0,0
793,0,0,0,0,0
794,0,0,0,0,0
795,0,0,0,0,0
796,0,0,0,0,0
797,0,0,0,0,0
798,0,0,0,0,0
799,0,0,0,0,0
800,0,0,0,0,0
801,0,0,0,0,0
802,0,0,0,0,0
803,0,0,0,0,0
804,0,0,0,0,0
805,0,0,0,0,0
806,0,0,0,0,0
807,0,0,0,0,0
808,0,0,0,0,0
809,0,0,0,0,0
810,0,0,0,0,0
811,0,0,0,0,0
812,0,0,0,0,0
813,0,0,0,0,0
814,0,0,0,0,0
815,0,0,0,0,0
816,0,0,0,0,0
817,0,0,0,0,0
818,0,0,0,0,0
819,0,0,0,0,0
820,0,0,0,0,0
821,0,0,0,0,0
822,0,0,0,0,0
823,0,0,0,0,0
824,0,0,0,0,0
825,0,0,0,0,0
826,0,0,0,0,0
827,0,0,0,0,0
828,0,0,0,0,0
829,0,0,0,0,0
830,0,0,0,0,0
831,0,0,0,0,0
832,0,0,0,0,0
833,0,0,0,0,0
834,0,0,0,0,0
835,0,0,0,0,0
836,0,0,0,0,0
837,0,0,0,0,0
838,0,0,0,0,0
839,0,0,0,0,0
840,0,0,0,0,0
841,0,0,0,0,0
842,0,0,0,0,0
843,0,0,0,0,0
844,0,0,0,0,0
845,0,0,0,0,0
846,0,0,0,0,0
847,0,0,0,0,0
848,0,0,0,0,0
849,0,0,0,0,0
850,0,0,0,0,0
851,0,0,0,0,0
852,0,0,0,0,0
853,0,0,0,0,0
854,0,0,0,0,0
855,0,0,0,0,0
856,0,0,0,0,0
857,0,0,0,0,0
858,0,0,0,0,0
859,0,0,0,0,0
860,0,0,0,0,0
861,0,0,0,0,0
862,0,0,0,0,0
863,0,0,0,0,0
864,0,0,0,0,0
865,0,0,0,0,0
866,0,0,0,0,0
867,0,0,0,0,0
868,0,0,0,0,0
869,0,0,0,0,0
870,0,0,0,0,0
871,0,0,0,0,0
872,0,0,0,0,0
873,0,0,0,0,0
874,0,0,0,0,0
875,0,0,0,0,0
876,0,0,0,0,0
877,0,0,0,0,0
878,0,0,0,0,0
879,0,0,0,0,0
880,0,0,0,0,0
881,0,0,0,0,0
882,0,0,0,0,0
883,0,0,0,0,0
884,0,0,0,0,0
885,0,0,0,0,0
886,0,0,0,0,0
887,0,0,0,0,0
888,0,0,0,0,0
889,0,0,0,0,0
890,0,0,0,0,0
891,0,0,0,0,0
892,0,0,0,0,0
893,0,0,0,0,0
894,0,0,0,0,0
895,0,0,0,0,0
896,0,0,0,0,0
897,0,0,0,0,0
898,0,0,0,0,0
899,0,0,0,0,0
900,0,0,0,0,0
901,0,0,0,0,0
902,0,0,0,0,0
903,0,0,0,0,0
904,0,0,0,0,0
905,0,0,0,0,0
906,0,0,0,0,0
907,0,0,0,0,0
908,0,0,0,0,0
909,0,0,0,0,0
910,0,0,0,0,0
911,0,0,0,0,0
912,0,0,0,0,0
913,0,0,0,0,0
914,0,0,0,0,0
915,0,0,0,0,0
916,0,0,0,0,0
917,0,0,0,0,0
918,0,0,0,0,0
919,0,0,0,0,0
920,0,0,0,0,0
921,0,0,0,0,0
922,0,0,0,0,0
923,0,0,0,0,0
924,0,0,0,0,0
925,0,0,0,0,0
926,0,0,0,0,0
927,0,0,0,0,0
928,0,0,0,0,0
929,0,0,0,0,0
930,0,0,0,0,0
931,0,0,0,0,0
932,0,0,0,0,0
933,0,0,0,0,0
934,0,0,0,0,0
935,0,0,0,0,0
936,0,0,0,0,0
937,0,0,0,0,0
938,0,0,0,0,0
939,0,0,0,0,0
940,0,0,0,0,0
941,0,0,0,0,0
942,0,0,0,0,0
943,0,0,0,0,0
944,0,0,0,0,0
945,0,0,0,0,0
946,0,0,0,0,0
947,0,0,0,0,0
948,0,0,0,0,0
949,0,0,0,0,0
950,0,0,0,0,0
951,0,0,0,0,0
952,0,0,0,0,0
953,0,0,0,0,0
954,0,0,0,0,0
955,0,0,0,0,0
956,0,0,0,0,0
957,0,0,0,0,0
958,0,0,0,0,0
959,0,0,0,0,0
960,0,0,0,0,0
961,0,0,0,0,0
962,0,0,0,0,0
963,0,0,0,0,0
964,0,0,0,0,0
965,0,0,0,0,0
966,0,0,0,0,0
967,0,0,0,0,0
968,0,0,0,0,0
969,0,0,0,0,0
970,0,0,0,0,0
971,0,0,0,0,0
972,0,0,0,0,0
973,0,0,0,0,0
974,0,0,0,0,0
975,0,0,0,0,0
976,0,0,0,0,0
977,0,0,0,0,0
978,0,0,0,0,0
979,0,0,0,0,0
980,0,0,0,0,0
981,0,0,0,0,0
982,0,0,0,0,0
983,0,0,0,0,0
984,0,0,0,0,0
985,0,0,0,0,0
986,0,0,0,0,0
987,0,0,0,0,0
988,0,0,0,0,0
989,0,0,0,0,0
990,0,0,0,0,0
991,0,0,0,0,0
992,0,0,0,0,0
993,0,0,0,0,0
994,0,0,0,0,0
995,0,0,0,0,0
996,0,0,0,0,0
997,0,0,0,0,0
998,0,0,0,0,0
999,0,0,0,0,0
1000,0,0,0,0,0
